target,model,training_start_year,outer_fold,alpha,inner_fold_station_mean_mae,candidate_scores,inner_folds,inner_validation_periods,outer_fit_end,outer_evaluation_start,outer_evaluation_end,outer_outcomes_used_for_selection
spei3,ridge_ar24,1951,2010-01_2014-12,10.0,0.5576675415676257,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5589605252426618}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5589599825266869}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5589545572227659}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5589004886878841}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5583772479493274}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5576675415676257}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.5803746894024401}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6948404253653995}]",3,"[""1995-01/1999-12"", ""2000-01/2004-12"", ""2005-01/2009-12""]",2009-12,2010-01,2014-12,False
spei3,ridge_ar24,1951,2015-01_2019-12,0.0001,0.5387555637761584,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5387555637761584}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5387559090348317}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5387593591864982}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5387936185015441}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5391132326590977}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5422434233242794}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.5711503220008292}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6954827692385579}]",3,"[""2000-01/2004-12"", ""2005-01/2009-12"", ""2010-01/2014-12""]",2014-12,2015-01,2019-12,False
spei6,ridge_ar24_met24,1951,2000-01_2004-12,10.0,0.3801652570252249,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5080367852211298}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5076971673463984}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5045269205939823}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.4840397106637055}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.4292176214466149}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.3801652570252249}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.3809251007539842}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.5302975341401738}]",3,"[""1985-01/1989-12"", ""1990-01/1994-12"", ""1995-01/1999-12""]",1999-12,2000-01,2004-12,False
spei6,ridge_ar24_met24,1951,2005-01_2009-12,100.0,0.36781384327931044,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.49330920296603664}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.4931132452558582}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.4912739831756374}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.4772178810957883}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.4293818620959854}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.37439605888466443}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.36781384327931044}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.5083841900083186}]",3,"[""1990-01/1994-12"", ""1995-01/1999-12"", ""2000-01/2004-12""]",2004-12,2005-01,2009-12,False
spei6,ridge_ar24_met24,1951,2010-01_2014-12,100.0,0.34998436620358,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.4744861524098277}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.4743461670003388}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.4729705915288868}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.4623431900834503}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.42139090333989554}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.3615124040976663}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.34998436620358}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.5023627298347608}]",3,"[""1995-01/1999-12"", ""2000-01/2004-12"", ""2005-01/2009-12""]",2009-12,2010-01,2014-12,False
spei6,ridge_ar24_met24,1951,2015-01_2019-12,100.0,0.3440335962296163,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.4362525654649473}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.43617629465843355}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.43543157286522993}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.42943538131090353}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.4034550579411957}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.3568156049444787}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.3440335962296163}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.5012567907409088}]",3,"[""2000-01/2004-12"", ""2005-01/2009-12"", ""2010-01/2014-12""]",2014-12,2015-01,2019-12,False
spei3,ridge_ar24,1971,2000-01_2004-12,1.0,0.5725076964394208,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5750300188798989}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5750269328665836}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.574996144070805}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5746952153687807}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5725076964394208}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5749457915361473}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.6373585863543494}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.7636943303362037}]",3,"[""1985-01/1989-12"", ""1990-01/1994-12"", ""1995-01/1999-12""]",1999-12,2000-01,2004-12,False
spei3,ridge_ar24,1971,2005-01_2009-12,1.0,0.5702968772571798,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5706900798458059}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5706896306580131}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5706851433357429}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5706407216140316}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5702968772571798}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5729315356957152}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.6256151066268727}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.7473248691650812}]",3,"[""1990-01/1994-12"", ""1995-01/1999-12"", ""2000-01/2004-12""]",2004-12,2005-01,2009-12,False
spei3,ridge_ar24,1971,2010-01_2014-12,10.0,0.5661408472424253,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5710448041503164}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5710432796753189}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.571028050159786}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5708772582846938}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5696176109927256}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5661408472424253}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.60085274738107}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.7238193261610825}]",3,"[""1995-01/1999-12"", ""2000-01/2004-12"", ""2005-01/2009-12""]",2009-12,2010-01,2014-12,False
spei3,ridge_ar24,1971,2015-01_2019-12,0.0001,0.551131607778656,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.551131607778656}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5511317791153394}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5511334893598451}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.5511502823502782}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5514054413660099}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.5544833120332724}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.5918694290457}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.725240874381407}]",3,"[""2000-01/2004-12"", ""2005-01/2009-12"", ""2010-01/2014-12""]",2014-12,2015-01,2019-12,False
spei6,ridge_ar24_met24,1971,2000-01_2004-12,10.0,0.42487306671580005,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 1.3261296568244}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 1.146189089227686}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.9012856960738512}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.6878375733276483}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.5126093809009826}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.42487306671580005}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.4482835695776645}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.6072775069732502}]",3,"[""1985-01/1989-12"", ""1990-01/1994-12"", ""1995-01/1999-12""]",1999-12,2000-01,2004-12,False
spei6,ridge_ar24_met24,1971,2005-01_2009-12,100.0,0.4020140439783409,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 1.1927618056717006}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 1.013677061831492}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.7767590269358072}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.6076159925935648}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.49161181722697145}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.4063694315799657}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.4020140439783409}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.5796192516517531}]",3,"[""1990-01/1994-12"", ""1995-01/1999-12"", ""2000-01/2004-12""]",2004-12,2005-01,2009-12,False
spei6,ridge_ar24_met24,1971,2010-01_2014-12,100.0,0.3821124913883832,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.6537284660367626}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.6513375851756174}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.6347947218551754}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.582362289356177}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.49768764254074466}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.40186792474854716}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.3821124913883832}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.5737347162571391}]",3,"[""1995-01/1999-12"", ""2000-01/2004-12"", ""2005-01/2009-12""]",2009-12,2010-01,2014-12,False
spei6,ridge_ar24_met24,1971,2015-01_2019-12,100.0,0.37137763037687993,"[{""alpha"": 0.0001, ""inner_fold_station_mean_mae"": 0.5125041956315699}, {""alpha"": 0.001, ""inner_fold_station_mean_mae"": 0.5121751691144549}, {""alpha"": 0.01, ""inner_fold_station_mean_mae"": 0.5091655227487003}, {""alpha"": 0.1, ""inner_fold_station_mean_mae"": 0.49186431574809286}, {""alpha"": 1.0, ""inner_fold_station_mean_mae"": 0.44965928291775537}, {""alpha"": 10.0, ""inner_fold_station_mean_mae"": 0.3859448962701546}, {""alpha"": 100.0, ""inner_fold_station_mean_mae"": 0.37137763037687993}, {""alpha"": 1000.0, ""inner_fold_station_mean_mae"": 0.575872231649032}]",3,"[""2000-01/2004-12"", ""2005-01/2009-12"", ""2010-01/2014-12""]",2014-12,2015-01,2019-12,False
