target,model,mae,rmse,r2,pearson_r,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy,n,drought_support,severe_support,drought_f1_valid_station_count,severe_f1_valid_station_count,persistence_mae,persistence_rmse,persistence_drought_f1,mae_skill_vs_persistence,rmse_skill_vs_persistence,drought_f1_change_vs_persistence
spei3,ridge_ar24,0.5418534937473255,0.685858756051,0.5634976136062808,0.7501481405484821,0.8669301712779974,0.3806074877503449,0.5265223179875272,0.6825616417987398,0.5555555555555555,0.12717359269083406,0.20674603174603176,0.5598075945812026,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.1505113856511897,0.1805179149224334,-0.03477352902260544
spei3,persistence,0.6378584534210531,0.836941732516436,0.3518300621646202,0.6747143031338845,0.5612958470101327,0.5612958470101327,0.5612958470101327,0.7248318129458822,0.46514883583849104,0.46514883583849104,0.46514883583849104,0.711259506303958,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.0,0.0,0.0
spei6,ridge_ar24_met24,0.3361561823815396,0.45536967854480687,0.8054628658792177,0.8981023256811368,0.8748538011695907,0.6673484770617056,0.7541421095637962,0.8216687298398039,0.8127946127946127,0.5555555555555555,0.6588319088319089,0.7733130390664638,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.23607792287472174,0.22949706424438376,0.06599327617907014
spei6,persistence,0.44003988423339174,0.5910031713224236,0.6743593610819748,0.8361762305242398,0.6881488333847261,0.6881488333847261,0.6881488333847261,0.8071366024456443,0.6603174603174603,0.6603174603174603,0.6603174603174603,0.8174443719649199,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.0,0.0,0.0
