training_start_year,target,model,mae,rmse,r2,pearson_r,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy,n,drought_support,severe_support,drought_f1_valid_station_count,severe_f1_valid_station_count,persistence_mae,persistence_rmse,persistence_drought_f1,mae_skill_vs_persistence,rmse_skill_vs_persistence,drought_f1_change_vs_persistence
1901,spei3,ridge_ar24,0.5418534937473255,0.685858756051,0.5634976136062808,0.7501481405484821,0.8669301712779974,0.3806074877503449,0.5265223179875272,0.6825616417987398,0.5555555555555555,0.12717359269083406,0.20674603174603176,0.5598075945812026,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.1505113856511897,0.1805179149224334,-0.03477352902260544
1901,spei3,persistence,0.6378584534210531,0.836941732516436,0.3518300621646202,0.6747143031338845,0.5612958470101327,0.5612958470101327,0.5612958470101327,0.7248318129458822,0.46514883583849104,0.46514883583849104,0.46514883583849104,0.711259506303958,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.0,0.0,0.0
1901,spei6,ridge_ar24_met24,0.3361561823815396,0.45536967854480687,0.8054628658792177,0.8981023256811368,0.8748538011695907,0.6673484770617056,0.7541421095637962,0.8216687298398039,0.8127946127946127,0.5555555555555555,0.6588319088319089,0.7733130390664638,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.23607792287472174,0.22949706424438376,0.06599327617907014
1901,spei6,persistence,0.44003988423339174,0.5910031713224236,0.6743593610819748,0.8361762305242398,0.6881488333847261,0.6881488333847261,0.6881488333847261,0.8071366024456443,0.6603174603174603,0.6603174603174603,0.6603174603174603,0.8174443719649199,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.0,0.0,0.0
1951,spei3,ridge_ar24,0.5417035195867294,0.6898929023779227,0.5583370224846006,0.7461625991687032,0.869674185463659,0.39536653822368106,0.5370370370370371,0.6891353473253249,0.557142857142857,0.18059239610963748,0.2701525054466231,0.5849961127230756,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.15074650703241743,0.17569781076202406,-0.024258809973095596
1951,spei3,persistence,0.6378584534210531,0.836941732516436,0.3518300621646202,0.6747143031338845,0.5612958470101327,0.5612958470101327,0.5612958470101327,0.7248318129458822,0.46514883583849104,0.46514883583849104,0.46514883583849104,0.711259506303958,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.0,0.0,0.0
1951,spei6,ridge_ar24_met24,0.353590023644825,0.47761206744870544,0.7863081221506776,0.8885902192212742,0.8665836343255698,0.6456024942611437,0.7386134280712594,0.8107780244321715,0.8235209235209235,0.6507936507936508,0.7243835347283624,0.8201710516779009,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.19645914765015893,0.1918620903843803,0.050464594686533304
1951,spei6,persistence,0.44003988423339174,0.5910031713224236,0.6743593610819748,0.8361762305242398,0.6881488333847261,0.6881488333847261,0.6881488333847261,0.8071366024456443,0.6603174603174603,0.6603174603174603,0.6603174603174603,0.8174443719649199,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.0,0.0,0.0
1971,spei3,ridge_ar24,0.5560920873145718,0.7040556466301192,0.5398846251224524,0.7375466355080998,0.8457142857142858,0.4713381856238999,0.596735469646862,0.7228472101321765,0.6,0.22922192749778958,0.3313222724987431,0.6085209890016697,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.12818888840923914,0.158775791340656,0.035439622636729284
1971,spei3,persistence,0.6378584534210531,0.836941732516436,0.3518300621646202,0.6747143031338845,0.5612958470101327,0.5612958470101327,0.5612958470101327,0.7248318129458822,0.46514883583849104,0.46514883583849104,0.46514883583849104,0.711259506303958,720,145,54,3,3,0.6378584534210531,0.836941732516436,0.5612958470101327,0.0,0.0,0.0
1971,spei6,ridge_ar24_met24,0.38219189308280527,0.5031666489006178,0.7628735102242447,0.8764766990303073,0.8819152661064426,0.6452872854352966,0.7448038756055633,0.8123386330776672,0.7393162393162394,0.5587301587301586,0.6305916305916307,0.7719170834239327,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.13146079076755823,0.14862275988344287,0.05665504222083717
1971,spei6,persistence,0.44003988423339174,0.5910031713224236,0.6743593610819748,0.8361762305242398,0.6881488333847261,0.6881488333847261,0.6881488333847261,0.8071366024456443,0.6603174603174603,0.6603174603174603,0.6603174603174603,0.8174443719649199,720,138,51,3,3,0.44003988423339174,0.5910031713224236,0.6881488333847261,0.0,0.0,0.0
