training_start_year,target,station,model,n,mae,rmse,r2,pearson_r,drought_threshold,drought_support,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_threshold,severe_support,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy
1901,spei3,Buttala,persistence,240,0.612967004564216,0.806808135129425,0.38000831785905254,0.6885063198107455,-1.0,49,0.5510204081632653,0.5510204081632653,0.5510204081632653,0.7179185810449834,-1.5,12,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6929824561403509
1901,spei3,Padaviya,persistence,240,0.6894102097546256,0.8997521706649555,0.2913116256573207,0.6452240621264512,-1.0,44,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.7634508348794062,-1.5,29,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.7254453342049354
1901,spei3,Tissamaharama,persistence,240,0.6111981459443174,0.8042648917549275,0.38417024297748725,0.6904125274644566,-1.0,52,0.5192307692307693,0.5192307692307693,0.5192307692307693,0.693126022913257,-1.5,13,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.7153507285665877
1901,spei3,Buttala,ridge_ar24,240,0.5125895013012207,0.6458128988222012,0.6027547108748058,0.7772684303506416,-1.0,49,0.8181818181818182,0.3673469387755102,0.5070422535211268,0.6732022651992734,-1.5,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.581140350877193
1901,spei3,Padaviya,ridge_ar24,240,0.6117106213289099,0.7779592599206185,0.4701862668638508,0.6859043015439582,-1.0,44,0.782608695652174,0.4090909090909091,0.537313432835821,0.6917903525046383,-1.5,29,0.6666666666666666,0.13793103448275862,0.2285714285714286,0.5642261807484883
1901,spei3,Tissamaharama,ridge_ar24,240,0.5012603586118459,0.6338041094101803,0.617551863080186,0.7872716897508465,-1.0,52,1.0,0.36538461538461536,0.5352112676056338,0.6826923076923077,-1.5,13,0.3333333333333333,0.07692307692307693,0.125,0.5340562521179262
1901,spei6,Buttala,persistence,240,0.42051228074544333,0.562806005119349,0.7022046218777556,0.8499142087547078,-1.0,45,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7948717948717949,-1.5,15,0.6,0.6,0.6,0.7866666666666666
1901,spei6,Padaviya,persistence,240,0.4866337866454876,0.6528981514645305,0.6140568888163567,0.8064270173838002,-1.0,47,0.7021276595744681,0.7021276595744681,0.7021276595744681,0.8147943997354206,-1.5,21,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8434442270058709
1901,spei6,Tissamaharama,persistence,240,0.41297358530924444,0.5573053573833915,0.706816572551812,0.8521874654342115,-1.0,46,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8117436127297176,-1.5,15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8222222222222222
1901,spei6,Buttala,ridge_ar24_met24,240,0.31302520000118783,0.4180274947964314,0.8357103506946202,0.9147298361245355,-1.0,45,0.8421052631578947,0.7111111111111111,0.7710843373493975,0.8401709401709402,-1.5,15,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.7288888888888889
