outer_fold,target,model,mae,rmse,r2,pearson_r,drought_precision,drought_recall,drought_f1,drought_balanced_accuracy,severe_precision,severe_recall,severe_f1,severe_balanced_accuracy,n,drought_support,severe_support,drought_f1_valid_station_count,severe_f1_valid_station_count,persistence_mae,persistence_rmse,persistence_drought_f1,mae_skill_vs_persistence,rmse_skill_vs_persistence,drought_f1_change_vs_persistence
2000-01_2004-12,spei3,ridge_ar24,0.5365953115817688,0.6875655463437581,0.47038516979374395,0.6906861809992931,0.9583333333333334,0.5235294117647059,0.6754545454545454,0.7581415174765559,0.75,0.3333333333333333,0.38888888888888884,0.6637931034482759,180,41,9,3,3,0.63937701951976,0.829767973406193,0.5669467787114846,0.16075289664803905,0.17137613359394277,0.10850776674306084
2000-01_2004-12,spei3,persistence,0.63937701951976,0.829767973406193,0.22845151614988224,0.612547820769732,0.5669467787114846,0.5669467787114846,0.5669467787114846,0.7173931736496418,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.509717868338558,180,41,9,3,3,0.63937701951976,0.829767973406193,0.5669467787114846,0.0,0.0,0.0
2000-01_2004-12,spei6,ridge_ar24_met24,0.3172586736496635,0.43195399817766816,0.7672925352682602,0.8787075000186394,0.9363636363636364,0.6816239316239315,0.7731086609805145,0.8338675213675213,0.5555555555555555,0.3833333333333333,0.4444444444444444,0.6827866099417824,180,37,11,3,3,0.4551863747591209,0.5878353261102336,0.7564102564102564,0.3030136857291633,0.2651785644868404,0.016698404570258063
2000-01_2004-12,spei6,persistence,0.4551863747591209,0.5878353261102336,0.5707780754035545,0.7823801236471507,0.7564102564102564,0.7564102564102564,0.7564102564102564,0.8467334969994544,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.6209303627407076,180,37,11,3,3,0.4551863747591209,0.5878353261102336,0.7564102564102564,0.0,0.0,0.0
2005-01_2009-12,spei3,ridge_ar24,0.560384999642738,0.7133975187465617,0.39551486143632736,0.6515892587699285,0.4444444444444444,0.10000000000000002,0.1623931623931624,0.5338993710691824,0.0,0.0,0.0,0.49415204678362573,180,27,5,3,3,0.6335139259972585,0.8516463620376801,0.5428571428571428,0.11543381029770283,0.1623312791007986,-0.38046398046398044
2005-01_2009-12,spei3,persistence,0.6335139259972585,0.8516463620376801,0.1563507489506598,0.5782746384616114,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.7321832884097036,0.0,0.0,0.0,0.48557835266131427,180,27,5,3,3,0.6335139259972585,0.8516463620376801,0.5428571428571428,0.0,0.0,0.0
2005-01_2009-12,spei6,ridge_ar24_met24,0.34919781857847526,0.48955469143181957,0.6696553210601306,0.825109086587014,0.8055555555555555,0.47222222222222215,0.5591036414565828,0.7231649069884364,,,,,180,21,0,3,0,0.4942209400800511,0.664460949562851,0.4351851851851852,0.29343783263834555,0.2632303045741097,0.12391845627139758
2005-01_2009-12,spei6,persistence,0.4942209400800511,0.664460949562851,0.4085471918372741,0.7067395272737609,0.4351851851851852,0.4351851851851852,0.4351851851851852,0.6827716129186717,,,,,180,21,0,3,0,0.4942209400800511,0.664460949562851,0.4351851851851852,0.0,0.0,0.0
2010-01_2014-12,spei3,ridge_ar24,0.5250684996807544,0.6453193733594785,0.6192353823080742,0.8003515298631378,0.9523809523809524,0.3742296918767507,0.5333333333333333,0.6834111422346716,,0.0,0.0,0.5,180,46,23,3,3,0.6135694340447008,0.7844046032672923,0.5463118580765639,0.14423947715345076,0.17731312300881452,-0.01297852474323058
2010-01_2014-12,spei3,persistence,0.6135694340447008,0.7844046032672923,0.43865711746419117,0.7146789798428164,0.5463118580765639,0.5463118580765639,0.5463118580765639,0.6944026054416823,0.5601851851851852,0.5601851851851852,0.5601851851851852,0.748146053293112,180,46,23,3,3,0.6135694340447008,0.7844046032672923,0.5463118580765639,0.0,0.0,0.0
2010-01_2014-12,spei6,ridge_ar24_met24,0.32094196867823765,0.421540625448306,0.8537779857355731,0.9272662886453192,0.8675213675213675,0.6388888888888888,0.7346469622331692,0.8005050505050505,0.9444444444444445,0.6137566137566138,0.7369297369297368,0.8037336527902564,180,47,23,3,3,0.3767628975228175,0.519455121184253,0.7236111111111111,0.14815930446335746,0.18849462011794527,0.011035851122058071
2010-01_2014-12,spei6,persistence,0.3767628975228175,0.519455121184253,0.7782232179230393,0.887806693796611,0.7236111111111111,0.7236111111111111,0.7236111111111111,0.8128998316498316,0.8306878306878307,0.8306878306878307,0.8306878306878307,0.9025186594553963,180,47,23,3,3,0.3767628975228175,0.519455121184253,0.7236111111111111,0.0,0.0,0.0
2015-01_2019-12,spei3,ridge_ar24,0.5453651640840406,0.6944131035005702,0.6507924806049102,0.815777436386467,0.9166666666666666,0.45384615384615384,0.6031746031746031,0.7198308783415167,0.5,0.2222222222222222,0.3,0.6053135712845331,180,31,17,3,3,0.6649734341224924,0.8787559008523997,0.5557692307692307,0.1798692457485741,0.209777023600087,0.04740537240537246
2015-01_2019-12,spei3,persistence,0.6649734341224924,0.8787559008523997,0.43837346871098,0.7195941004561627,0.5557692307692307,0.5557692307692307,0.5557692307692307,0.7343412438625204,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.8032302379511999,180,31,17,3,3,0.6649734341224924,0.8787559008523997,0.5557692307692307,0.0,0.0,0.0
2015-01_2019-12,spei6,ridge_ar24_met24,0.357226268619782,0.4739150459736035,0.8251956902522993,0.9116671203142594,0.8897028897028897,0.7851851851851852,0.832010582010582,0.8823529411764706,0.7222222222222222,0.5444444444444444,0.6201058201058202,0.7663220551378446,180,33,17,3,3,0.4339893245715775,0.580959241619699,0.6888888888888888,0.17687775160730945,0.18425422641984168,0.1431216931216932
2015-01_2019-12,spei6,persistence,0.4339893245715775,0.580959241619699,0.7363617305949682,0.8672001446001244,0.6888888888888888,0.6888888888888888,0.6888888888888888,0.8100217864923748,0.5444444444444444,0.5444444444444444,0.5444444444444445,0.7537552213868004,180,33,17,3,3,0.4339893245715775,0.580959241619699,0.6888888888888888,0.0,0.0,0.0
