"date","cloud_cover","mean_prep","pot_evap","mean_tmp","max_tmp","min_tmp","diurnal_tmp_range","vapour_pressure","wet_day_frq","PET","spei_ 1","spei_ 3","spei_ 6","spei_ 9","spei_ 12"
1901-01-16,50,325.5,4.1,25,28.9,21.2,7.7,24.1,12.46,115.410298714225,1.43280704839858,NA,NA,NA,NA
1901-02-15,45,109.9,4.4,25.5,29.8,21.3,8.5,24.6,5.34,119.230258847014,0.306327988836173,NA,NA,NA,NA
1901-03-16,46.3,121.4,4.4,25.5,29.8,21.2,8.6,25,5.45,138.161221223191,0.541203115328281,1.1670653522576,NA,NA,NA
1901-04-16,57.5,194.2,4,26.3,30.2,22.4,7.8,27,11.31,130.555442712679,0.568412395639386,0.603021500638127,NA,NA,NA
1901-05-16,68.8,63.2,3.8,26.5,29.8,23.2,6.6,27.8,4.94,121.472957560429,-0.772896404379362,0.0813878081556532,NA,NA,NA
1901-06-16,71.3,38.1,3.9,26.2,29.2,23.3,5.9,26.6,5.94,108.10472886997,-0.793417983273294,-0.427968159272105,0.850639964136385,NA,NA
1901-07-16,72.5,49.3,4,26.1,29.3,22.9,6.4,25.6,7.53,116.871478932546,-0.274918649605018,-1.13475376154439,-0.21458316528704,NA,NA
1901-08-16,72.5,10.4,4,26.2,29.4,23.1,6.3,26,1.04,119.262751779055,-1.8778904302868,-1.71606256617524,-0.969863082070182,NA,NA
1901-09-16,72.5,130,3.9,26.2,29.5,22.9,6.6,26.6,8.37,118.454235349372,0.503328518954454,-0.852100670073934,-0.936350281809305,0.33579133908895,NA
1901-10-16,70,97.7,3.6,26,29.5,22.6,6.9,26.9,9.07,120.014813050313,-1.39907880337555,-1.65921098813679,-2.18055997722001,-1.12465065481281,NA
1901-11-16,65,307,3.3,24.9,28.4,21.5,6.9,25.4,15.59,106.632462670522,0.345861284902008,-0.359656934624132,-1.23837466143108,-1.03353104869639,NA
1901-12-16,58.8,152.2,3.4,24.5,27.9,21.2,6.7,25.1,9.15,103.869795172446,-0.818891217805788,-0.936436006957954,-1.31769061418881,-1.40198381991546,-0.494548120136575
1902-01-16,50,305.3,3.9,24.1,28,20.3,7.7,23,8.56,112.986278437847,1.32187565391771,0.462550400415366,-0.376062981863954,-0.822405457265046,-0.532528186103056
1902-02-15,45,125.6,4.3,24.4,28.7,20.2,8.5,23,7.56,116.204808218831,0.576135157007295,0.506913122742292,0.135022465579407,-0.449986364854696,-0.441782171266018
1902-03-16,46.3,113,4.5,25.8,30.1,21.5,8.6,25.3,6.43,139.118458321736,0.393347190647865,1.12901446097016,0.0948082517974012,-0.237922191015907,-0.456098049204079
1902-04-16,57.5,103.5,4.1,26.7,30.6,22.8,7.8,27.9,8.05,131.739619063815,-0.869067783993263,-0.0897330718251113,0.293912131406512,-0.385880460605497,-0.767951663648157
1902-05-16,68.8,54.8,3.8,26.9,30.2,23.6,6.6,28.3,4.87,122.569778847656,-0.951492690139308,-1.01998456762668,-0.079296355108303,-0.307894054090109,-0.795733414390073
1902-06-16,71.3,85.1,4,26.8,29.8,23.9,5.9,27.6,10.9,109.577210988516,0.677176372947138,-0.981065213733348,0.509188040862462,-0.367742421250565,-0.636352206068502
1902-07-16,72.5,40.1,4,26,29.2,22.8,6.4,25.3,7.16,116.605256884863,-0.530067146164419,-0.806989016287425,-0.623534515321929,-0.0615634006247782,-0.663520225708657
1902-08-16,72.5,45.2,4.1,26.3,29.5,23.2,6.3,26,7,119.533495823957,-0.957539459400328,-0.77693397285698,-1.26353466086737,-0.38076191653151,-0.536333181067981
1902-09-16,72.5,170.4,3.8,25.6,28.9,22.3,6.6,25.8,13.38,116.838950321881,1.03586181248075,-0.0949967277652878,-0.848918122655388,0.351900842899853,-0.367242084106102
1902-10-16,70,349.2,3.5,25.1,28.6,21.7,6.9,25.3,18.45,117.551567172427,1.77235937552767,1.30074044396803,0.701921109325918,0.395376208071132,0.571709469541864
1902-11-16,65,468.7,3.3,25.1,28.6,21.7,6.9,25.9,19.37,107.131327992957,1.79662112982742,2.06141279275292,1.74592702802421,1.17791911450553,1.13187374888818
1902-12-16,58.8,266.1,3.4,24.9,28.3,21.6,6.7,25.5,12.41,104.850855811619,0.278907394152318,1.53677135441048,1.3833325042474,0.973514197619013,1.50862911504403
1903-01-16,50,177.7,4,24.9,28.8,21.1,7.7,24.2,8.95,115.14096312796,0.267595644411836,1.14216555478804,1.4629183153519,1.1724447366425,1.07889636487171
1903-02-15,45,146.1,4.4,25.5,29.8,21.3,8.5,24.8,7.87,119.230258847014,0.804269672673247,0.510206677436095,1.6837355461686,1.48004682796121,1.11557246791559
1903-03-16,46.3,15.1,4.4,25.6,29.9,21.3,8.6,24.9,3.82,138.480300256039,-1.51741909036098,-0.049593870499837,1.25517829608544,1.13772653896928,0.746452262846747
1903-04-16,57.5,112,4.1,26.7,30.6,22.8,7.8,27.8,8.66,131.739619063815,-0.732591795921766,-0.718464828775175,0.596027051548226,1.05311940368592,0.778030435543439
1903-05-16,68.8,257.1,3.7,26.1,29.4,22.8,6.6,27.6,11.82,120.376136273201,1.72586303951948,0.130493755717121,0.448016679630257,1.55118374420801,1.35838547728504
1903-06-16,71.3,106.5,3.9,26.3,29.3,23.4,5.9,26.8,8.86,108.350142556394,1.17169694269666,1.20111269402924,0.65125326204688,1.58556593655006,1.43072828303523
1903-07-16,72.5,115,4,26.1,29.3,22.9,6.4,25.8,11.28,116.871478932546,1.05084496291218,1.94491252872018,0.972026920076705,1.34579196810284,1.59639057533367
1903-08-16,72.5,107.7,4,25.8,29,22.7,6.3,25.3,11.52,118.17977559945,0.468627439072197,1.21988906088846,0.828523746392919,0.79877097148953,1.72900253143852
1903-09-16,72.5,150.5,3.8,25.5,28.8,22.2,6.6,25.7,10.99,116.569736150632,0.806984748550058,1.01562803909735,1.4553227296379,0.99660379825415,1.66342524680867
1903-10-16,70,171,3.5,25.7,29.2,22.3,6.9,26.5,11.37,119.193731091017,-0.441421699957084,0.351347097120102,1.51060017128705,0.880506314715893,1.29993219694872
1903-11-16,65,116.2,3.2,24.9,28.4,21.5,6.9,26,8.8,106.632462670522,-1.72619756631429,-1.10110653071454,-0.294225923595564,-0.246358069301235,0.18638548993406
1903-12-16,58.8,178.7,3.4,24.2,27.6,20.9,6.7,24.5,9.32,103.133999693066,-0.525853837295976,-1.44943759216781,-0.791616396080211,-0.136929471237894,-0.23440512677632
1904-01-16,50,298,3.9,23.7,27.6,19.9,7.7,22.4,9.53,111.90893609279,1.28141971418131,-0.509826823095099,-0.255826278192021,0.654431573039995,0.284262556433533
1904-02-15,45,41,4.3,24,28.3,19.8,8.5,22.5,3.12,115.104644354037,-0.800591677444343,0.167435221341034,-0.57902377032443,-0.121991001408135,-0.11727643350003
1904-03-16,46.3,72.7,4.4,25,29.3,20.7,8.6,24.1,7.33,136.565826058951,-0.284461081631743,0.464573298171239,-0.847565497853606,-0.3632355299594,0.103666224317918
1904-04-16,57.5,82,4.1,26.6,30.5,22.7,7.8,27.6,8.98,131.443574976031,-1.20267850132222,-1.3166432216599,-1.10179322625525,-0.851284695138728,0.0200211298089139
1904-05-16,68.8,105.2,3.7,26.1,29.4,22.8,6.6,27.2,7.19,120.376136273201,-0.00489126810078178,-1.08058908795278,-0.413194334677053,-0.947805099652598,-0.531724137179805
1904-06-16,71.3,51.5,3.7,25.4,28.4,22.5,5.9,25.7,8.71,106.141419378574,-0.227132271478386,-0.969239257319986,-0.226877612763785,-1.20083910514692,-0.747966243862333
1904-07-16,72.5,155,3.9,25.5,28.7,22.3,6.4,24.7,12.42,115.274146646452,1.5392556540595,0.76442555784449,-0.651285692658577,-0.799243297639163,-0.584432868077568
1904-08-16,72.5,11.1,4,25.9,29.1,22.8,6.3,25.5,2.2,118.450519644351,-1.83593718806764,-0.0422000822332189,-0.91606379106962,-0.453644551702474,-0.952622767818929
1904-09-16,72.5,34.7,3.8,25.9,29.2,22.6,6.6,26.2,7.01,117.646592835626,-1.36121915128969,-0.689554644241922,-1.23083466943482,-0.549206072414055,-1.37681005081411
1904-10-16,70,218.6,3.5,25.6,29.1,22.2,6.9,26.1,15.49,118.920037104586,0.230539314158099,-1.33981284398755,-0.483059619396456,-1.27855731847105,-1.29067288643628
1904-11-16,65,142.5,3.3,25.2,28.7,21.8,6.9,26.3,8.28,107.380760654175,-1.48098517339974,-1.43705941092682,-1.32843470581851,-1.67530902061026,-1.2739090984337
1904-12-16,58.8,237.4,3.4,24.2,27.6,20.9,6.7,24.4,9.6,103.133999693066,0.0466541666490459,-0.688391345426905,-1.00916580351559,-1.39182356463793,-1.07387860065932
1905-01-16,50,73.5,3.9,23.9,27.8,20.1,7.7,22.7,5.74,112.447607265318,-0.849472557570878,-1.33697464146293,-1.71070464760735,-1.29258480880503,-1.80418683553891
1905-02-15,45,100.2,4.4,24.9,29.2,20.7,8.5,23.5,5.15,117.580013049823,0.182306128044325,-0.495959988750382,-1.2793016606941,-1.24736529713593,-1.5817789785662
1905-03-16,46.3,29.7,4.5,26.3,30.6,22,8.6,26.2,2.88,140.713853485976,-1.25420335344189,-0.962924585094233,-1.20093917751436,-1.40234920324774,-1.62229438892582
1905-04-16,57.5,242.4,4,25.9,29.8,22,7.8,26.4,13.1,129.371266361544,1.19363987332343,0.167297908054594,-0.965035304108345,-1.36567226514515,-1.07897747767481
1905-05-16,68.8,115.5,3.8,26,29.3,22.7,6.6,26.8,8.77,120.101930951395,0.167016528960363,0.167752210477633,-0.333327224807838,-1.05183360224302,-1.04465165652778
1905-06-16,71.3,39.8,4,26.4,29.4,23.5,5.9,26.7,7.65,108.595556242819,-0.746889492134611,0.584771233547431,-0.565142662707723,-0.91987237809082,-1.10991144586289
1905-07-16,72.5,9.2,4,26.9,30.1,23.7,6.4,27.2,4.02,119.001255314004,-1.64260380779244,-0.982464611351014,-0.512153124064296,-1.28542668924109,-1.5951370118341
1905-08-16,72.5,99.1,4,26.3,29.5,23.2,6.3,26.2,9.15,119.533495823957,0.280859901862827,-1.10099410333158,-0.533926491221041,-0.732611300507074,-1.33153409327821
1905-09-16,72.5,86.3,3.9,26.1,29.4,22.8,6.6,26.5,9.51,118.185021178124,-0.239610603666924,-0.820672165756625,-0.132416444334688,-0.889264155401117,-1.14342805381683
1905-10-16,70,188.3,3.5,25.5,29,22.1,6.9,26,13.81,118.646343118154,-0.191099246519614,-0.190199302758219,-0.866622959163265,-0.603426902378511,-1.34452367004944
