"date","cloud_cover","mean_prep","pot_evap","mean_tmp","max_tmp","min_tmp","diurnal_tmp_range","vapour_pressure","wet_day_frq","PET","spei_ 1","spei_ 3","spei_ 6","spei_ 9","spei_ 12"
1906-10-16,67.5,276.5,3.7,27.3,30.9,23.8,7.1,27.7,14.11,123.463541650876,0.593776409218498,0.481173197913039,0.368984614064959,-0.432482063020243,-1.2204266378445
1906-11-16,60,464.8,3.3,25.9,28.9,23,5.9,27.6,17.96,98.3885416249006,1.33936892998984,1.07548046017207,1.34750956484792,0.891077184858888,-0.254101067478741
1906-12-16,52.5,192.2,3.6,25.5,28.1,23,5.1,26.2,11.12,89.9924640185813,-0.493136516412787,0.667964875478952,0.67267300549365,0.403516936754263,0.0445507482034453
1907-01-16,42.5,122.8,4,25.1,27.9,22.4,5.5,24.4,6.3,95.1091935084003,0.31155067818272,0.550200836254208,0.628506201708101,0.56443163593182,0.100244647916592
1907-02-15,37.5,59.7,4.4,25.8,29.2,22.4,6.8,24.7,4.27,105.316538643701,-0.147509917736295,-0.443244640989977,0.387812870834405,0.563492470698274,0.234884439621739
1907-03-16,38.8,53.9,4.6,27.2,30.9,23.6,7.3,27.2,4.77,131.55808034809,0.439913517879472,0.095506990532483,0.590074746615807,0.592803255371613,0.329884714277757
1907-04-16,50,133.9,4.4,27.8,31.6,24,7.6,28.7,9.26,133.932202180888,1.31609988215132,0.584529774127969,0.701496499939313,0.781705932518039,0.733236166947612
1907-05-16,61.3,48.5,4.7,29.4,33.3,25.6,7.7,29.9,4.76,141.910407488405,0.026680181452579,0.973487236128899,-0.0058491943991278,0.620849419550113,0.782179463138957
1907-06-16,71.3,6.6,5,29.3,33.1,25.6,7.5,27.7,3.14,132.850383728664,0.138998584563305,0.979222462440622,0.443067945466875,0.778766917248057,0.794337976590236
1907-07-16,75,36.6,4.6,28.8,32.7,25,7.7,27.2,3.34,138.399920007625,0.661097418929164,0.176324653937001,0.574845197318976,0.695865488833463,0.785786637180119
1907-08-16,71.3,27.9,4.5,28.3,32.3,24.4,7.9,27.4,4.73,141.023065058232,-0.701316366578468,-0.314162924418947,0.601639670781863,-0.134060348000893,0.555870805231817
1907-09-16,68.8,47.8,4.4,28.8,32.8,24.8,8,28.5,3.32,137.705670867905,-0.354813947730105,-0.549740274075875,0.275989742602704,0.130314482170606,0.63539430668456
